,head_0,head_1,head_2,head_3,head_4,head_5,head_6,head_7,head_8,head_9,head_10,head_11,head_12,head_13,head_14,head_15,head_16,head_17,head_18,head_19,head_20,head_21,head_22,head_23,head_24,head_25,head_26,head_27,head_28,head_29,head_30,head_31,head_32,head_33,head_34,head_35,head_36,head_37,head_38,head_39,head_40,head_41,head_42,head_43,head_44,head_45,head_46,head_47,head_48,head_49,head_50,head_51,head_52,head_53,head_54,head_55,head_56,head_57,head_58,head_59,head_60,head_61,head_62,head_63,head_64,head_65,head_66,head_67,head_68,head_69,head_70
layer_18,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,16,4,5,4,4,4,4,4,4,4,4,17,4,4,4,4,4,4
layer_19,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4
layer_20,6,4,4,5,9,4,4,4,4,4,4,6,5,5,8,4,4,8,4,4,4,4,5,4,4,6,4,4,38,4,4,43,5,4,4,4,9,4,4,4,4,5,8,5,4,4,5,4,4,6,4,4,4,4,4,4,4,8,4,4,4,6,4,4,4,4,11,4,4,4,4
layer_21,5,4,11,4,4,20,4,4,14,5,4,4,4,4,130,4,4,7,4,6,4,7,4,8,5,4,4,5,4,9,6,6,7,4,4,4,5,5,4,5,26,5,4,4,5,4,5,4,4,5,4,4,4,4,4,8,4,8,6,9,4,4,7,4,5,8,4,4,140,4,4
layer_22,4,4,4,4,4,4,119,11,4,4,5,7,24,4,4,4,4,4,6,4,6,5,4,4,4,17,4,7,4,4,9,11,12,7,4,8,4,4,4,4,4,4,5,7,4,4,4,4,5,4,7,4,11,4,4,16,6,6,20,4,5,4,5,5,4,4,4,5,5,4,4
layer_23,4,4,4,12,4,4,4,4,7,5,4,4,5,4,4,32,4,6,4,4,4,5,4,4,4,15,4,4,5,7,4,4,4,4,6,4,4,4,5,4,134,37,4,7,4,32,15,4,4,13,7,4,4,4,4,25,8,12,4,5,4,4,4,14,4,4,4,4,11,4,4
layer_24,4,4,4,4,4,4,4,4,4,4,4,4,5,83,10,12,4,4,4,4,4,5,6,104,4,4,4,4,4,4,4,4,4,4,7,4,4,10,4,4,4,9,4,4,4,4,4,4,6,15,4,4,4,4,4,4,4,4,4,4,4,4,11,5,4,4,6,5,5,7,4
layer_25,4,4,4,4,4,4,11,4,4,4,4,4,4,4,4,4,4,4,4,4,6,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8
layer_26,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,20,4,4,8,4,5,4,4,34,4,4,21,4,4
layer_27,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
layer_28,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,16,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
layer_29,4,6,4,4,4,4,4,8,4,4,4,4,4,41,5,4,4,5,8,4,4,5,4,4,4,4,4,25,4,5,4,4,4,24,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,10,4,4,4,45,4,4,4,24,4,4,8,4,4,4,4,4
layer_30,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,13,4,5,4,4,7,4,4,5,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,10,4,4,4,4,4,4
layer_31,4,4,4,4,4,4,4,4,4,4,4,4,4,6,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,15,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,7,4,4,4,4,4,4,4,4,137,4,4,4,4,4
